ts1| 1630.0915739 1621.83657203 1627.78174211 1692.79192683 1605.35384033 1661.58371635 1623.87650243 1671.12022264 1653.16096823 1703.89736289 1645.71212544 1695.6348162
ts2| 726.175336227 720.913022606 733.618761824 744.00257483 721.326945466 734.688423419 745.617322166 732.99031987 745.98724009 739.852983578 740.825789392 761.983190415
ts3| 754.971371283 749.757506588 758.280848612 735.193573394 762.593275634 768.414137772 755.951960388 751.28106021 758.17393855 764.633649592 753.66112429 787.664178574
ts4| 943.087563234 957.159586257 979.141467711 956.828466327 959.335765794 954.657974407 943.034751809 965.641004656 978.257702046 966.926161632 949.650606534 995.232257308
ts5| 534.379630817 534.181412746 539.185951819 545.681518173 530.465809027 537.980064967 527.569972325 544.449670454 537.886464579 537.348309619 535.186083213 543.033224784
ts6| 906.760805212 928.247773551 955.414898198 879.493078655 913.860281153 895.749407305 921.769041151 883.71949109 901.001294649 918.041589913 877.603322204 879.990132649
ts7| 544.401804543 532.016011403 533.811395972 554.60302387 537.412838279 534.332115893 548.559957505 547.221461168 540.890894908 527.455544258 530.844208485 554.413382066
ts8| 488.062224595 485.098472854 486.661547498 491.364348775 490.052195637 491.476884096 497.957089246 500.390556814 491.175701088 496.747032279 493.757698079 504.269530135
ts9| 469.305138065 490.05379515 468.903115853 467.479347415 486.031370951 494.747321736 474.708139059 481.009572473 474.340857116 503.057848829 495.184871737 468.953291171
ts10| 13.3864962222 13.4153752275 13.4551704766 13.1769943163 12.5630435712 13.2952450229 12.4254831213 12.7273784203 12.3394254106 12.8825212949 12.5200261488 12.178297257
ts11| 508.046117831 509.662237341 510.228786746 510.354828822 510.86237373 513.807266167 505.405070014 518.377751554 519.028205003 511.342810131 511.824722003 527.604645932
ts12| 453.712610989 445.532850265 454.326899624 450.11089339 466.951772828 452.728669366 468.395948562 454.041671902 463.259319291 461.612124991 464.229936443 486.351192942
ts13| 1064.71548842 984.363161403 940.939548192 1068.47737013 1097.83231895 1023.55884304 1005.43030741 980.896447049 959.631057443 1057.55814772 975.923200622 971.303414147
ts14| 1400.45640451 1353.39220701 1399.1741738 1442.97966384 1491.0703037 1545.05450295 1495.31544819 1516.85814643 1478.56080664 1596.03620996 1489.37740958 1508.34977159
ts15| 1144.04339944 1275.9842337 1417.34843793 1454.66964802 1429.03705425 1434.33715386 1362.82374291 1104.0804635 1209.31227325 1139.58462139 1123.44833835 1348.80474852
ts16| 1945.85154681 1794.47355451 1668.73473328 1756.22688865 1877.30961214 1897.60334871 1980.59577226 2023.62547949 1813.5598733 1909.21410594 1934.35066114 1978.61220923
ts17| 916.950928942 797.806397383 806.85498702 890.817836522 792.350590167 784.752952626 964.162605432 861.782534109 862.339425483 929.524307727 801.318069067 824.204730357
ts18| 776.977720724 886.978441009 822.49604696 939.157011383 906.161618048 875.10044714 771.634256304 776.910126603 898.052631704 805.700976281 891.978185443 929.559368446
ts19| 1375.65404004 1492.04294295 1567.74030047 1349.01174483 1505.12098475 1516.94930747 1322.03641113 1527.79158396 1687.91372402 1546.48139628 1585.90985479 1630.90860111
ts20| 1534.54701699 1387.39686806 1404.90436738 1390.12578318 1513.16613613 1504.66492851 1414.24275808 1344.30376817 1422.94438376 1458.63670318 1486.23226249 1561.30847317
ts21| 200.323706144 182.260063753 146.543687012 189.546919249 195.433777663 175.82595063 172.522487253 151.385806591 194.366118417 203.684573492 155.325915319 213.486924847
ts22| 163.52881108 177.181953311 172.71316097 157.635465873 179.427852172 193.868518455 164.556535065 157.662108518 189.982923037 153.156793286 187.446259695 172.074614739
ts23| 253.920852721 290.21662155 284.75797672 298.987454704 275.042220507 289.167647477 266.855580484 251.322912179 251.883483872 273.719980543 248.036674183 278.382930856
ts24| 185.597166314 187.693169522 180.107978669 184.403179343 195.247415651 197.853637446 185.161525052 206.386278762 179.927420932 156.768869606 167.297815835 163.82823846
ts25| 1218.56774337 1140.50732831 1217.7820206 1206.24012637 1142.61693453 1213.88527709 1177.82932372 1166.75009614 1241.44644568 1183.65864493 1154.47787819 1217.90867652
ts26| 886.193522819 881.473862116 902.116211909 916.583664248 977.21662272 896.729584273 920.577646646 903.341214585 870.362985894 913.950442752 857.853509275 908.290580335
ts27| 918.450721073 888.595611383 931.191781929 931.882050752 969.773221301 1033.01217147 945.100481707 915.960509358 913.484357243 961.707405091 1024.80256314 921.598121549
ts28| 1886.24041044 1942.59682419 1969.01348278 1891.51793541 1912.09910636 1877.42779744 2018.97437467 2072.64723383 2158.89528159 2019.42465616 2141.38035578 1992.69430906
ts29| 770.28493442 776.281716556 809.77180933 741.954923335 751.766290021 768.099660573 767.822426639 819.670549889 809.328985273 755.029250664 763.394924009 838.278589636
ts30| 541.603303251 543.389742687 537.559698408 535.587256526 509.100183139 517.793658709 522.602857351 541.323366713 480.248568373 552.50408147 496.678442956 513.945804222
ts31| 329.60926088 303.131254527 353.844621679 326.181147745 346.386046694 339.913405332 356.26893996 318.982389193 331.818421123 350.961978757 324.013407131 335.592254568
ts32| 737.412744904 745.320084117 724.300070995 707.287173357 679.221825915 739.441202525 710.350683998 762.007020745 736.438529354 696.923584036 750.686235772 760.336249676
ts33| 748.174442131 745.042424347 775.980322447 756.588991543 812.167144687 603.065709754 801.980394807 720.93585181 808.919302336 661.629123268 668.368830206 678.410907208
ts34| 1165.46838284 1222.79112317 1207.91176132 1118.31160413 1093.21189026 1128.65657252 1132.87318988 1114.83794281 1086.12254036 1191.67282057 1206.93133507 1164.3850011
ts35| 424.099880166 417.009496083 423.902719565 430.486082182 408.161118167 386.860821477 418.498369523 435.900494605 439.052938182 437.215406158 414.870736717 430.422805379
ts36| 505.075818945 495.870872203 521.177437365 507.740532617 540.888714592 535.052864696 496.603814626 495.629441881 523.602366936 504.104483204 506.214025184 523.922385738
ts37| 1933.78691905 1990.60619842 1821.32674206 1864.04939368 1822.96667399 2125.01575118 1868.29680182 2281.92461133 2143.6011919 2108.83405601 2179.77402826 2244.40222145
